ClassID,ClassName,Count,AvgGateValue
5,Soil,293,0.588438
13,Parking Lot 2,386,0.601081
12,Parking Lot 1,423,0.626266
14,Tennis Court,594,0.597176
2,Stressed grass,629,0.564330
9,Road,1105,0.628441
11,Railway,1111,0.629082
10,Highway,1113,0.607238
4,Trees,1118,0.621535
3,Synthetic grass,1120,0.590448
7,Residential,1120,0.612845
0,Undefined,1127,0.603284
8,Commercial,1128,0.604079
1,Healthy grass,1130,0.609793
6,Water,1142,0.583105
