ClassID,ClassName,Count,AvgGateValue
13,Mixed mopane,81,0.522569
1,Water,86,0.510639
11,Acacia grasslands,162,0.516452
7,Firescar,183,0.505590
3,Floodplain grasses 1,195,0.495233
9,Acacia woodlands,224,0.526527
2,Hippo grass,227,0.501614
6,Riparian,235,0.504511
12,Short mopane,242,0.520376
4,Floodplain grasses 2,243,0.501714
5,Reeds,243,0.500131
0,Undefined,244,0.512580
10,Acacia shrublands,275,0.520074
8,Island interior,284,0.505126
