ClassID,ClassName,Count,AvgGateValue
0,Undefined,353,0.501949
2,Corn_senesced_green_weeds,556,0.442120
4,Lettuce_romaine_5wk,608,0.474367
5,Lettuce_romaine_6wk,721,0.540401
1,Broccoli_green_weeds_1,1209,0.529700
3,Lettuce_romaine_4wk,1373,0.524564
