ClassID,ClassName,Count,AvgGateValue
8,Self-Blocking Bricks,853,0.498120
6,Bare Soil,1198,0.509896
4,Trees,1211,0.506785
2,Meadows,1891,0.477607
3,Gravel,2758,0.502790
7,Bitumen,3314,0.502723
5,Painted metal sheets,4527,0.499438
0,Undefined,5969,0.512314
1,Asphalt,16785,0.494887
